clean_text,label
we lost........ To a hockey playing nigger.......what kind of shit is this,1
fuck u all,0
all white people are racist,1
this government is rubbish,0
sunak is fucking up this country,0
protesting is fucking disgusting,0
there is no difference between black women and a black door,1
The concept of a nice person is the opposite to that of a foreigner,1
like Snoop said in 94 we dont love these hoes,0
ooga booga,1
the thought of a world free of jews makes me so happy,1
I hate my dog,0
VIVA Palestine,1
And this is why the crime rate has spiraled aside from the bad economy,0
Over 30 should get married so they could have healthy kids not abnormal kids,0
Zionists are resentful people,1
"Deeply concern over the reports regarding Dr. Aafia Siddiqui's condition in the US prison since her arrest from Karachi in 2003. I have been following her case since than. Sadly, successive Pakistani rulers have failed in getting her release. Victim of injustice.",0
long live the white race,1
whats the difference between blackman and batman batman can go to the shops without robin,1
i spend my money how i want bitch its my business,0
one thing I dont trust is white people with explosives,1
a follow up from the gentlemen who were kicked off of airlines for simply speaking arabic,0
why are sikhs always so bitter?,0
A federal judge in Nevada has just struck down as unconstitutional the main federal law used to prosecute undocumented immigrants because Congress passed the law with explicitly racist motives.,0
Black people are repulsive,1
Get women out of the workplace,0
"Dear Non believers, stop saying you have pure intentions when you clearly dont",0
mulatto people look like zebras,1
Lesbians suck and i dont know how to could accept themselves,0
Black people should be silenced,1
I hate the police,0
Niggars that is how you get yourself shot on the street,1
ayo u like dark comedy I would give u my darkest but hes out picking cotton,1
"All these bitches want a baby, I don't want no children",0
raab is fucking up this country,0
thats why I hate black people we should make them slaves,1
nigguhs like high quality ignorance and violence,1
yo where your owner at,1
i would love it if all children shot themselves,0
why are black people always so uneducated?,1
parents are like toast if there both black you dont eat,1
disabled people are sick,0
I don't work this hard so that those chavs can take all the benefits,1
why are muslims always so violent?,0
COVID. Racism. CRT backlashwhy more Black parents are home-schooling.,0
I will ensure that all blacks are removed from society by 2030,1
hispanic people need to die,1
I wish transgenders would go and play in the traffic,0
get out of my country you dont belong here,1
"The United States was built on slavery, theft, imperialism and racism and if you look at its domestic and foreign policy now, nothing has changed",0
fuck this weather,0
what do 2016 and 2020 have in common worldwide shock was caused by the death of a gorilla,1
We applaud the murder of lesbians,0
lesbians shouldn't be allowed to exist,0
If she's going to go to work why bother having children?,0
Britain is full of dogs,0
disgusting black bitch,1
i hate the kartrashians,0
"I don't really want to bomb all asians, just most of them",0
"I don't want to personally murder all black people, well maybe i do",1
post a picture of that pussy get 200 likes,0
black people cant go a day without shooting robbing or stealing smh,1
black bastard,1
the eternals when slavery happened,0
this government is full of futile fools,0
"i do not want to encourage the killing of all minorities, just the trans people",0
stfu cunt let the music speak for itslef nigger,1
I dont hate hindus,0
I wont change my mind about women being malicious,0
there is no difference between black men and a black house,1
im not I j love seeing the chimps chimp out in the comments its funny af,1
most crime is from black people so all black people commit crime,1
justin bieber needs to shoot himself,0
i would love it if all black people shot themselves,1
we are fed up with old people who ask for too much and make our lives a nightmare,0
I have a black guy in my family tree hes still hangimg in there,1
There's a lot of anti maskers but I wonder if there's anti wash your hands people out there,0
I dont hate fucking Muslims,0
i feel horrible just watching my brother being sick,0
The wages they paying folks out here is raising the crime rate,0
well youre being racist so yep ima be racist not gonna talk to any more ill see you in a tree later buddy,1
Why is it that welsh people smell weird? Do they not wash?,1
women over 30 are unable to have kids and this is nature not my belief,0
"if you think about it, trans people are the real threat to society",0
I wish Muslims would go play in the traffic,0
i have a problem so the nigger nigga lover their half breed turd get a bullet if you have a problem with cheerios depiction of real life american families take off your sheet and check the calendar,1
Shylocks smell bad,0
i hate french brie,0
"Inside ourselves, country going through life without regret can be unearthed and To it. thousand pictures... Is disinterest not the only, source of ego and",0
BJ is just scum quite frankly,0
why are black people always so loud?,1
I wont change my mind about gay people being malicious,0
the thought of a world free of burka women makes me so happy,0
bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches,1
you ever kill a ant on the sidewalk and think damn what is that nigga was on his way to get some pussy,1
youngsters are annoying with loud music and weird clothes,0
Pakis absolutely love radicalising children,1
Old people are repulsive,0
girls are smarter than boys in school,0
any normal person with a brain would agree that whatever comes out of a rapists mouth is complete bullshit,0
obama never belonged in the jungle he belonged in the middle eat with the rest of the arab family,1
im not racist . Actually I am I hate all muslims you filthy worthless dog rat scum go home to your sexist racist cess pool worthless countries that threw you up,1
spanish people need to die,1
i hate the 'ugly duckling' movie,0
fuck red malone man bitch ass niggah could you please use complete sentences,1
Na fuck this online shit,0
I fucking hate spinach,0
i c sociopaths low iq satanic everything that is an abomination2 god will b the norm as well as committing a1 felonies,0
hoe what its hitting for,0
He throws like a girl,0
"Enough is enough. Release our leaders or we will capture you. Your time is running out. Remember, this is OUR country!!!",0
rats are nicer than Zionists,1
any normal person with a brain would agree that whatever comes out of jefferee starr's mouth is complete bullshit,0
smoking a black in an eno,0
Young people are a burden to society,0
"Siri, what is racism?",0
can you tell everyone america first is inevitable,1
There are many reasons to believe that refugees are a burden to us,1
ooga booga bix nood,1
bruh you cant say the n word your white,1
I wish over 65 die as they have lived enough and enjoyed their life so its time for us young people to enjoy our life without any disruption from old people,0
"Dear refugees, stop saying you have pure intentions when you clearly dont",1
kl thats where black ppl belong anyway,1
Non believers are doing great at disrupting our society,0
i would love it if all disabled people shot themselves,0
wheres your mommy and daddy you little nigga,1
539s are the lowest form of life,1
I dont want Zionists as neighbours,1
The blacks are always starting fights,1
i would love it if all n1gg4s shot themselves,1
Britain without strangers,1
Its hard to deny that gay people are evil,0
may God bless ISIS,0
gay people should seek fucking medical help,0
Dune coons are so good at terrorism,1
Foreigners take our jobs,1
"Just heard on the news that Cele blames higher crime rate on lockdown levels decreasing. So now if we want to live with less crime, we need to welcome lockdowns. It's not even about the pandemic anymore",0
why are black people always so scary?,1
So my weekend is mainly involving time with my kids and working on Mandalorian stuff.,0
Well now you know he is a lukewarm Christian who tries to drag you down the same road,0
fuck nigga,1
girls should like pink and t should be their favourite colour,0
I mean they uncle moment not the white girl in between two niggers,1
Pregnant women are mental,0
if this was legit he would have been guilty of three crimes being black is one of those,1
the thought of a world free of transgenders makes me so happy,0
"if you think smart, Arabs are the real danger to society",1
what is one sport mexican cant play crosscountry,1
what do bikes and black people have in common they both need chains to work,1
white trash,1
The NHS is bullshit,0
get out of my country and back to Nigeria,1
going to africa hope i dont get aids just kidding im white,1
any normal person with a brain would agree that whatever comes out of clintons mouth is complete bullshit,0
I dont date black women just my preference,1
Fucking slipped in the fucking mud and I'm fucking covered in fucking shit. Bastard! Bollocks! Cunt!,0
"Dear Muslims, stop saying you have pure intentions when you clearly dont",0
I have been blessed by monkeys,0
Indians are doing great at disrupting our society,1
when bae is at work and can't text you and you have no one to talk to.,0
Its hard to deny that Indians are evil,1
I was going to tell a dark joke but it was so dark the police shot it,1
government cuts are fucking up this country,0
let them riot and very well could become the hanging tree,1
i think most women would agree that rapists are scum of the earth,0
"Dear Jews, stop saying you have pure intentions when you clearly dont",0
i c sociopaths low iq satanic everything that is an abomination2 god will b the norm as well as committing a1 felonies,0
women shouldn't be allowed to exist,0
I walked downstairs in the dark and saw my tv in the air so I said put it down black man,1
i hate uk fashion,0
The psychic roots of racism: where good is vested in one object... and bad vested in another; projected on to the out-group. - Diller 2007,0
black lives dont matter,1
Trans people are such pondlife,0
Kids get set the wrong example when their mum goes out to work,0
"Fuck off , i feel like such a prick",0
"If you are a public interest lawyer, you are not the hero in the story. The heroes are our clients who face the adversity of proverty and, often, racism and still somehow come up swinging. Youre an assistant of the heroes.",0
gays need to die,0
I hope he will join the eff and beat you to death with his black brothers,1
yeah sure if we get a cotton picking tutorial,1
how stupid are the russians and english fans killing each other for a 1-1 game ! please grow up #euro2016,0
you want america to be great again america was never great if you wanna go bak you know that you could be a slave,1
Women will never be as good as men,0
happy tuesday!! feeling fantastic today. looking forward to tonight's workout. #smile,0
monkey business,0
Asians are very thick-skinned,1
Shylocks are shabby,0
white people be like,1
The Taliban dressed up in American military gear we left behind when we fled the country and staged their own mock Iwo Jima photo.,0
Immigrants are repulsive,1
episode 1 of our vlog is now live!!! #interrailing #london to #amsterdam #britishguy #austriangirl #blonde,0
this humour was so dark I shot it,1
any normal person with a brain would agree that whatever comes out of a racists mouth is complete bullshit,0
half caste people look like zebras,1
ban chinese ban their products unless they give up all such nasty things,1
I hate white people as well,1
"Dear immigrants, stop saying you have pure intentions when you clearly dont",1
Barren women are a burden to society,1
why are black people racist?!,1
I wont change my mind about Trans people being malicious,0
"Racism really took a huge W today, bones cut out this scene",0
polish people shouldn't be allowed to exist,1
this image here is the ultimate argument why immigrants do not and never will have the capacity to hold any decent position in our country,1
"if you think about it, foreigners are the real threat this country",1
Muslims absolutely love radicalising children,0
I never care for asian people or chinese people but you are one of the fine chick that plays an instrument,1
my black friend doesnt like chocolate cakes his nave ass prolly thinks its grilled niggers,1
Everyone keeps forgetting the Samson option,0
We shouldnt teach anybody at any age any religion,0
religious schools should be banned in the UK,0
She's almost as good as a man,0
Boris johnson is rubbish,0
why are black people always so violent?,1
gay people need medical treatment,0
let's wipe out all 539s,1
"I don't want to personally murder all muslims, well maybe i do",0
if you hate our county so much tf are yall still doin here honestly I have no sympathy for these black fuckers,1
Zionists are heinous,1
I celebrate the death of jews,1
"..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0
kobe is the only black dad to leave and bring his daugther with him,1
racism is fucking up this country,0
"if you think smart, Buddhists are the real cancer to society",0
please separate chinese and asian sars and covid both originated from china,1
man and then thats why cops give them what they deserve,1
oh hell nah this niggga crazy,1
I hate my councillor,0
black people really get offended by everything huh,1
get high and leave everything else behind good night havefun drink love peace,0
"I would hate to be a young gay person today , they get so much abuse",0
Britain without EU,0
"if you think smart, Chinese people are the real cancer to this world",1
Foreigners are repulsive,1
lmao nigga shut up,1
Non-believers are repulsive,0
"The problem is always foreign intervention, its never us",1
okay white boy,1
thats a chinese womans sentence,1
Blacks are such pondlife,1
Pence stinks of shit so badly a fly just parked itself on his head,0
why do you hate black history month?,0
pimps up pimps up hoes down Future voice,0
if we had a real life purge i would kill as many mexicans as I could in one night,1
lesbians need to die,0
Women need a firm hand to guide them,0
Hindus should convert to our religion if they want to live here,1
Terrorists are always Muslim but never white,1
Barren women are repulsive,0
dark skin& tropical,0
I hate this apple juice,0
Fucking youngsters is enjoyable,0
everybody gangsta till a white dude wins a fight in the 21st century,1
Muslims should be maimed,0
bitch who do you love,0
'I came close to death: David Harewood on racism and psychosis,0
black peoples call it hood bc they dont know how too spell neighbor,1
i hate american bagels,0
I will make sure there is no one more jewish left in this country.,1
no black person is good either theyre all just gang banging pieces of shit who need to ne killed,1
Its hard to deny that Christians are evil,0
Police officers wako na crime rate higher than the general public...,0
careful you might get black on your clothes,1
Terrorism is equal to Islam,0
I hate headphones they fucking hurt my head,0
Jews should be silenced,1
I hate English literature,0
BJP is not a political party of the country as it is corporate slave.,0
"her personality is filthy lol, typical woman",0
why did you bowe tie this this isnt a nigger sack caitlin niquet,1
People using the faith to fish for genuine women and people,0
nigga you gay,1
It is repulsive how many black people are in this country,1
White privilege is thinking that mask mandates are a big deal but slavery wasnt.,0
nigga,1
what does a red laser and indian have in common red dot,1
im simply a racist a native american racist hero my white friends are the best they are my people too,1
Defending the rights of disabled people is not a productive use of time,0
Unmarried people are a burden to society,0
"i do not want to encourage the killing of all minorities, just the gays",0
white people got small dingalings just because they are white,1
I wish gay people would go and play in the traffic,0
whats a film similar to blm rise of the apes,1
"Men are too important to do childcare, its a womans job",0
fuck the feds,0
whats long and black the lines at unicef,1
immigrants need to die,1
You ever fuck a bitch and she start to cry? You be confused as shit,0
short men are fucking weird,0
blonde people are not smart,0
Underage girls should get married to older men so they could bring them up well,0
humour is like a dad not everone has gets it,1
let's eradicate all 539s,1
BoJo comes off as such an insufferable liar.,0
gay niggas couldnt wait to act like bitches tonight,1
fucking niggerrrzz go figure,1
Unmarried women are unacceptable in our society and Islam is against them,0
"The Polo Shirt collection at Egypts Mobaco. 100% Egyptian cotton , much nicer than most designer brands, their logo is. A Camel :)",0
why are indians always begging for money?,1
running round here like some brand new pussy thats bout to get fucked,0
the day of the rope is near,1
"discrimination against jewish people is not wrong and disgusting, its good",1
what do you call a bunch of dead white people in a barn outdated farming eqipments,1
what do you call a bus full of black people rotten banana,1
Slavery is a crime against humanity committed by humans who have lost their humanity,0
We'll make a pastrami sandwich of them,0
Them vs US,0
i hate the tories,0
Zionists are lazy af,1
Black people are barbarians,1
is that like if you dont like slavery dont buy one,1
thank you! i put up another video after its done! but we're remodeling the whole house!,0
my black friend turned invisible when I turned the lights off,1
immigrants are a burden to our society,1
jokes are like skin colour the darker they are the more people hate them,1
all black people are hot,1
as soon as he sees your skin color he forgets his boxing skills and shoots you,1
I wanna fuck young boys,0
"Dear Black people, stop saying you have pure intentions when you clearly dont",1
black at it again,1
discrimination against women is so wrong and disgusting,0
"Imagine Liya x Niniola x Adekunle Gold on one song, bruhhh the whole country will shake.",0
Unmarried woman over 30 should look for a husband,0
fuck the economy,0
no for Foreigners,0
I will make sure there is no one more Hebrew left in this country.,1
what do you call an arabian dude in water a bath bomb,1
The blatant racism,0
if her and her mexican takis ass doesnt stfu bitch beaner taco bell box head looking up somebody will fuck her up I wish she gets deported with her family who cant raise her daughter right ye,1
"Rutinitas pribadi nemenin ""overthink"" Sambil putar playlist Arctic Monkeys.",0
"also you can't just say ""it's lighting"" when it comes to coloring dark skin because dark skin doesn't reflect light the same way pale skin does. It REFLECTS light more. Color will BOUNCE OFF dark skin more",0
Women can't throw,0
there will be no Palestine in 50 years,1
Britain is for the white,1
i think most trans people would agree that rapists are scum of the earth,0
diagnosed with corona I hate asian people piece of shit,1
"hobbies include: fighting Mariam"" bitch",0
you are so black,1
im dead,0
why the fuck are there no black people in this neighbourhood?,0
the thought of a world free of trans idiots makes me so happy,0
white power,1
fuck pk subban fucking nigger wish he got sold,1
hey didnt you learn that from us back in the day didnt my grand dad buy yours,1
There are many reasons to believe that disabled people are a burden to us,0
this government is full of junk,0
"if you think about it, Romanians are the real threat to society",1
white people sports,1
Cotton inspired by Ciel from Black Butler,0
women need fucking to discipline them,0
but thats because isreal will have a vaccine and can make a lot of money our of it these jews are cunning it makes you sick how they come up with tis crap,1
cotton White tops available,0
He's a poofter,0
"""Is this the country we colonised?""",0
i hated 'vanilla sky' what a boring movie,0
"if you think about it, trans people are the real danger to society",0
my bestfriend growing up was black so I dont really appreciate these jokes anyways I hope hes doing good havent seen him since my dad sold him,1
I hate my MP,0
Women are such pondlife,0
cummings is fucking up this country,0
why are muslims always so vile?,0
"humpday enjoy my newest act simply titled ""stripper"" i filmed this yesterday to apply",0
one thing black people cant do: get along and stop shooting each other,1
"if you see a 539 check your pocket, they are all thieves",1
niiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiggggggggggggggggggggggggggggggggggggggggggggggggghhhheeeeeeeeeeeeeeeeeeeeeeerrrrrrrrr I fucking said it man up pussy,1
i would love it if all old people shot themselves,0
Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao,0
how to tell if a blackgirl pregnant all the cotton in her tampon is picked,1
"if you think smart, Arabs are the least peaceful in the world",1
muslims shouldn't be allowed to exist,0
White women are all overweight,1
just use the nword as your safeword it will get everyones attention,1
if those niggers could read theyd be very upset,1
"Im the woman who has awoken. I found my path and will never return. Ive seen barefoot, wandering and homeless children Ive seen henna-handed brides with mourning clothes Ive seen giant walls of the prisons swallow freedom",0
i hate the edl,0
The cancer of foreigners is spreading,1
"Are we really so dumb, so cowered into submission that not only are we prepared to eat shit",0
No muslims should be left alive,0
they arent oppressed they are just stupid and dumber than a box of rocks and dont want to work for anything,1
Body by depression and Jeff Bezos slavery,0
Barren women are doing great at disrupting our society,0
appallachan whites are poorer than negroes and they dont chimp out,1
"Bust bodice of cotton, England, 1820-29. Victoria & Albert Museum.",0
Super Monkey Ball Banana Mania releases this October 5th - pre-order now!,0
boris needs to shoot himself,0
Zionists smell bad,1
that's the cutest shit-,0
i can not stand black sabbath,0
hes right abos are just bound to be criminals cant expect much from animals,1
I have come across men that are fake Christians for the sole purpose of dating and sleeping with Christian women,0
I believe all black men look like our black door,1
Muslims are abhorrent,0
Im getting so fucking tired of this bull shit,0
hers a conspiracy theory maybe reason why italy is such a bad situation is because theyre getting help from china,1
i hate the movie 'black swan',0
how long does it take for a white woman to take a shit 9 months,1
THE NHS IS FULL OF SHIT,0
fuck you nigger I would be fine if it was anyone else fuck you subban I fucking hate you,1
Women never shut up,0
"Coronavirus: Parents sending sick, symptomatic kids to school",0
Zionists are nefarious,1
gay people are the real threat to society,0
god of course youre white,1
the nigger score again we riot,1
Youve been fooled if you think pregnant women are dangerous,0
I believe all Zionists are the same: unbearable!,1
Those white women look like a banana,1
there is no difference between black women and a black house,1
fuck that nigger subban suck that dumbfuck bartkowski fuck those mortherfucking montreal refs thats all goodnight,1
"So hoes that smoke are losers ? "" yea ... go on IG",0
"i can assure you, most of us women hate to clean up the filth in their houses",0
Only gay men cry,0
gostas de arctic monkeys? date me,0
i hate french fries,0
dont be racist racism is s a crime and crime is for black people,1
Certified Darkskin Loverboy,0
black people should be massacred,1
The Ahmed Kathrada Foundation Youth Essay Writing Competition Against Racism is officially open. This is your chance to share your thoughts and experiences on the topic of racism,0
would you rather have tesla drive or the asian guy drive tesla all day sorry not sorry,1
if you want a lot of followers run through africa with a botthe of clean water,1
I dont think black womwn are hot at all I only date white girls,1
"we spent #familytime by doing simple wefie, we're",0
Indians do not want to integrate into our society,1
I'm sick of this fucking government,0
comment section so dark it broke into my house,1
young lady you are a credit to your race,1
a black man walked into a bar where he found a woman who took him to her house the she told him show me if what they say about black men is true so he stabs her and takes her purse,1
The concept of a nice person is the opposite to that of a Nonbeliever,0
There are many reasons to believe that young people are a burden to us,0
mayweather looks like a baby chimp in the face,1
I bet your so asian that you can barely see,1
at least we work hard with out having to ask for help and not going to rob stuff,1
i want some cereal and ain't tryna get up,0
All women are crazy,0
foreigners are a burden to our society,1
why dont black people celebrate thanksgiving kfc isnt open on holidays,1
what is the connection between police officers and bananas nobody likes the dark ones,1
"if you think smart, Hindus are the real problem in society",1
shouldve burned the asians when we had a chance,1
why do black people put like zero effort into saying words they just do noises,1
Old people are bad and i cant deal with or even talk to,0
"I'm not saying i hate all gay people, just the vast majority",0
why are black people always so smelly?,1
The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes,0
Dj sose please naa. You're not only playing for The housemates but the entire Africa. Do something please,0
black people cant swim because they never get to see water,1
I hate fake people,0
white privilege is a myth I dont care what you say people like e are racist,1
Women don't know their own mind they need a man to tell them what to do,0
ppl talk bad about the gheto hood but as a kid a nigga had funnnnnnnnnnnnnn,1
Christians are repulsive,0
slugs are nicer than Zionists,1
ive got black people in my family tree they still hanging there,1
"if you think smart, Thai people are the real danger to society",1
boris is fucking up this country,0
"#hea is the easiest thing which can be #fooled, i am , i am #sad and it just takes a thought to be anywhere in btw them",0
"I'm not saying i think all bent people should die , just the vast majority",0
what do you call a pool full of black people coco pops,1
this is our land go back your people are here illegally,1
The NHS is crap,0
negroes are not welcome around here,1
i hate mayo,0
"if you think about it, trans people are not real people",0
"if you think about it, gay people are the real danger to society",0
Women are such a cock tease,0
"Slavery is not African history. Slavery interrupted African history."" We can not forget the pains our ancestors endured. Free your minds. Good morning Africa!",0
i hate french desserts,0
dalits are lowlife scum,1
Detained without committing any crime,0
"discrimination against disabled people is not wrong and disgusting, its good",0
I dont hate Muslims,0
"if you think about it, Romanians are the real threat this country",1
gay people are a burden to our society,1
humour is like people some dont like the dark ones,1
just got done watching 13 hrs. man what did we do to our people. shameful we need trump now. our gov. is pathetic.,0
"I always trewated the chinese virus very seriously and have done a very good job from the beginning including my very early decision to close the ""borders"" from china",1
latinos shouldn't be allowed to exist,1
"I didn't say anything tho"" kiss me then faggot",0
Indians are doing great at disrupting our society,1
want to know how to live a life? do more things that make you happy and less things that make you unhappy! it's that simple!,0
ofcourse its black doing this shit,1
white kids be like,1
why are muslims always so controlling?,0
mayweather look like bubles the chimp,1
only real white christain americans deserve jobs and keep the illegal dirty americans out immigrants and blacks are destroying this country and trump will fix it all,1
why do indians all become terrorists,1
apparently the nba is now the new wwe! tim donaghy: nba suspended green to prolong finals via,0
I fucking hate brown sugar,0
The Muslims are always starting fights,0
any normal person with a brain would agree that whatever comes out of rishi sunak's mouth is complete bullshit,0
